X load: 7821.72,  Y load: 49384.42,  Angle: 81
X load: 17918.40,  Y load: 46679.02,  Angle: 69
X load: 5226.42,  Y load: 49726.09,  Angle: 84
X load: 29389.26,  Y load: 40450.85,  Angle: 54
X load: 31466.02,  Y load: 38857.30,  Angle: 51
X load: 10395.58,  Y load: 48907.38,  Angle: 78
X load: 37157.24,  Y load: 33456.53,  Angle: 42
X load: 47552.83,  Y load: 15450.85,  Angle: 18
X load: 2616.80,  Y load: 49931.48,  Angle: 87
X load: 41933.53,  Y load: 27231.95,  Angle: 33
X load: 50000.00,  Y load: 0.00,  Angle: 0
X load: 49726.09,  Y load: 5226.42,  Angle: 6
X load: 48296.29,  Y load: 12940.95,  Angle: 15
X load: 15450.85,  Y load: 47552.83,  Angle: 72
X load: 33456.53,  Y load: 37157.24,  Angle: 48
X load: 40450.85,  Y load: 29389.26,  Angle: 36
X load: 48907.38,  Y load: 10395.58,  Angle: 12
X load: 43301.27,  Y load: 25000.00,  Angle: 30
X load: 27231.95,  Y load: 41933.53,  Angle: 57
X load: 44550.33,  Y load: 22699.52,  Angle: 27
